UserID,Game,Hours,Metacritic score,Achievements,Recommendations
5250,Portal 2,13.6,95,51,243925
5250,Alien Swarm,4.9,77,66,319
5250,Team Fortress 2,0.8,92,520,14410
76767,Counter-Strike,365,88,0,122770
86540,Far Cry 3,17.8,88,0,76837
86540,Left 4 Dead 2,16.4,89,101,457367
554278,War Thunder,7.4,81,53,1697
748719,DayZ,40,0,13,259417
748719,Dishonored,9.2,91,80,51274
975449,Left 4 Dead,158,89,73,34087
975449,Just Cause 2,98,84,50,38169
994489,Dota 2,18.7,90,0,14300
994489,Half-Life,0.1,96,0,60686
1072465,Day of Defeat,3.4,79,0,3246
1129452,Sniper Elite,238,76,0,2333
1612666,BioShock Infinite,28,94,80,93311
1612666,Tomb Raider,20,86,50,130347
1612666,Max Payne 3,16.7,87,67,34672
1936551,This War of Mine,53,83,55,73633
1936551,Majesty 2,50,72,0,783
1936551,Prison Architect,43,83,18,50820
1950243,FINAL FANTASY VII,71,0,36,18912
2083767,Orcs Must Die! 2,28,83,27,11746
2259650,Borderlands 2,223,89,75,180366
2259650,Fallout 4,116,84,84,178849
2531540,Ricochet,1.1,0,21,0
2531540,Half-Life 2,1.1,96,33,110892
2753525,Grand Theft Auto V,154,96,77,1247051
3449240,ArcheAge,618,80,0,792
3449240,Arma 3,168,74,120,170391
3449240,Path of Exile,114,86,127,1075
3450426,Deathmatch Classic,0.2,0,0,1570
4595423,BIT.TRIP RUNNER,0.6,0,26,1741
4824107,Terraria,27,83,104,783469
5387470,Insurgency,72,74,100,85803
5949488,Clicker Heroes,228,0,111,791
5949488,Portal,0.7,90,15,91584
5990132,Castle Story,83,0,12,7053
5990132,RPG Maker VX Ace,63,0,0,2811
5990132,Infinifactory,41,0,22,1575
5990132,Craft The World,28,0,81,11369
6439568,Heroes & Generals,1.6,0,0,2469
6928806,PAYDAY 2,55,79,1287,375054
7203603,Rust,262,69,90,655687
7431946,Grim Dawn,60,83,185,63676
7431946,Warframe,51,69,193,2912
7907686,Tropico 4,38,78,70,7511
8311704,No More Room in Hell,0.8,0,112,745
8585433,The Binding of Isaac,1672,84,99,41402
8585433,Torchlight II,839,88,119,29563
8585433,Crypt of the NecroDancer,234,87,44,19208
8949216,Kerbal Space Program,68,88,0,84833
9180659,Space Engineers,321,0,30,84958
9180659,Natural Selection 2,94,80,137,7989
9245216,RIFT,13.2,0,0,0
9845449,Planets Under Attack,14.3,0,21,308
9946133,Garry's Mod,79,0,29,725462
10218563,Star Trek Online,303,66,0,790
10218563,Dungeon Defenders,222,81,118,9690
10385370,Crusader Kings II,17,82,161,30307
10450544,Assetto Corsa,48,85,709,54706
10599862,Elite Dangerous,746,80,0,63527
11149819,Pillars of Eternity,237,89,48,13161
11207650,F.E.A.R.,37,88,0,7859
11207650,Black Mesa,32,84,50,77838
11403772,EVE Online,109,88,0,7038
11794760,Evil Genius,50,75,0,2797
11940338,Don't Starve,52,79,0,84030
12130111,Desktop Dungeons,65,82,35,1025
12144171,PlanetSide 2,80,84,0,606
12144171,Torchlight,64,83,66,4323
12195913,Duke Nukem Forever,19.5,54,62,4895
12259303,RAGE,13.4,79,60,10527
14126086,Blood Bowl 2,191,76,31,6039
14544587,Stronghold Kingdoms,1616,75,0,226
14544587,Perpetuum,1565,0,34,594
14544587,Neverwinter,653,74,0,310
14962163,Robocraft,228,0,43,2542
14962163,AdVenture Capitalist,144,0,31,522
14962163,Euro Truck Simulator 2,111,79,81,430887
15095770,Train Fever,0.5,67,39,2668
15095770,Worms Reloaded,0.5,79,61,2856
15095770,Hospital Tycoon,0.4,51,0,356
15196746,Hammerwatch,164,72,38,3490
15196746,Source Filmmaker,75,0,0,252
16084897,Shattered Union,116,67,0,120
16574348,Guns of Icarus Online,11.9,64,849,8272
16574348,Nidhogg,2.3,81,12,5199
17414305,7 Days to Die,160,0,43,156071
17649444,Supreme Commander 2,271,77,47,6721
18109027,Lara Croft and the Guardian of Light,2.3,82,12,2932
19085114,Killing Floor,171,72,285,35858
19586574,Dragon Nest,48,0,0,0
19586574,From Dust,16.9,76,0,2409
19616379,Shadowgrounds,48,74,0,1093
20464587,Time Clickers,71,0,99,0
20772968,GRID,312,0,38,3145
21535912,Unturned,79,0,65,7699
23386002,Fallout 3,30,91,0,14263
24011187,The Walking Dead,13,82,48,34692
24204083,BRINK,17.6,70,43,1861
26027937,Worms Revolution,26,73,34,4859
26302344,RPG Maker XP,26,0,0,743
26302344,Darkstone,18.6,0,0,332
26861985,Morphopolis,2.2,0,13,4312
28064589,iBomber Defense Pacific,12.8,0,25,135
28064589,Company of Heroes,7.9,93,0,7981
28472068,Spelunky,26,90,20,13128
29239329,Legend of Grimrock,20,82,40,3985
29302014,FINAL FANTASY VIII,10.9,0,45,6666
29706117,The Forest,15,83,45,327874
29852387,Pox Nora,0.3,0,0,0
30061970,Kingdom Wars,53,0,35,682
30061970,Frozen Synapse,30,85,16,1050
30239820,Survarium,83,0,73,367
30425578,Hotline Miami,34,85,35,63781
30614573,Synergy,14.8,0,8,0
30912860,Black Ink,229,0,0,406
30912860,Shadow Warrior,22,73,92,13854
30912860,Shadowrun Returns,15.4,76,0,8653
30913209,Champions Online,218,72,709,176
31817706,The Jackbox Party Pack,1.6,0,20,1216
32125590,Company of Heroes 2,18.7,80,452,57141
32467994,Space Pirates and Zombies,591,74,48,2026
32498610,Vindictus,7.9,76,0,0
32577778,RACE 07,15.2,83,0,1052
33013552,Magicka,31,74,88,16661
33452361,Dead Space,28,86,0,16949
33651880,Freaking Meatbags,331,69,0,0
33778112,Age of Wonders III,1.5,80,74,6249
33778112,The Darkness II,0.3,77,50,5794
35039277,Supreme Commander,22,86,0,1623
35433662,APB Reloaded,2,0,60,380
36404933,Starbound,173,81,51,115043
36439985,LIMBO,5.2,88,13,22620
36557643,SpaceChem,54,84,20,2296
37294596,Dying Light,13.6,87,78,242718
37766583,Star Conflict,229,75,213,206
39319649,Stronghold Crusader 2,79,0,81,8921
39361297,Trove,7.3,0,19,1034
39361297,MapleStory,6.5,0,0,103
39899978,L.A. Noire,6.2,83,60,22516
41559627,Homeworld Remastered Collection,3.2,86,34,9143
42005897,Europa Universalis IV,571,87,334,74106
42198457,La Tale,34,0,0,0
42198457,Pixel Piracy,7.9,0,30,5387
42298912,Mount & Blade,16.8,72,0,4407
42380987,Wildlife Park 2,29,0,0,442
43913966,Reign Of Kings,110,0,0,11966
44010163,Grand Theft Auto III,15.2,93,0,10569
44021324,Crysis,18.1,91,0,11466
44472980,Mortal Kombat X,191,84,73,29640
44866715,GRAV,73,0,0,4435
44866715,The Repopulation,41,0,0,910
45094639,Tropico 5,1.8,75,70,9117
45422636,FEZ,19.4,91,12,9293
45532207,Hunting Unlimited 2010,4.1,0,0,199
46055854,Homefront,170,70,47,2886
46534663,Dragons and Titans,1.3,43,52,0
47271668,Hearts of Iron III,32,77,0,4393
47384202,Orcs Must Die!,67,83,27,5406
47457723,Gnomoria,246,0,0,2759
47524459,Magic Duels,13.9,0,49,1413
48080423,Secrets of Grindea,11.8,0,28,4603
48080423,Defiance,6.3,64,0,2482
48492052,Cubic Castles,0.7,0,0,0
49063269,Bloodline Champions,131,79,0,0
49380630,Spiral Knights,115,64,54,191
49413665,Knights of Honor,155,77,0,1835
49724738,Cry of Fear,0.5,0,0,322
50032397,Saints Row 2,163,72,0,9214
